,name,wkn,index,de_ticker,ticker,industry,ISIN
0,AB Effectenbeteiligungen AG,919214,AT,JPH,not_found,Finanzdienstleistungen,AT0000824206
1,Amag Austria Metall AG,A1JFYU,AT,AM8,AMAG.VI,Rohstoffe,AT00000AMAG3
2,Andritz AG,632305,AT,AZ2,ANDR.VI,Maschinenbau,AT0000730007
3,AT & S Austria Technologie & Systemtechnik AG,922230,AT,AUS,ATS.VI,Elektrotechnologie,AT0000969985
4,Athos Immobilien AG,A0F5L6,AT,IJM,ATH.VI,Immobilien,AT0000616701
5,Atrium European Real Estate Ltd.,A0X963,AT,ODDB,not_found,Immobilien,JE00B3DCF752
6,Bank für Tirol und Vorarlberg AG,854019,AT,ZTY,BTS.VI,Finanzdienstleistungen,AT0000625504
7,BKS Bank AG,853022,AT,BK5,BKS.VI,Finanzdienstleistungen,AT0000624705
8,Burgenland Holding AG,879095,AT,BH4,BHD.VI,Versorger,AT0000640552
9,CA Immobilien Anlagen AG,876520,AT,BZY,CAI.VI,Immobilien,AT0000641352
10,DO & CO AG,915210,AT,DOQ,DOC.VI,Dienstleistungen,AT0000818802
11,Erste Group Bank AG,909943,AT,EBO,EBS.VI,Finanzdienstleistungen,AT0000652011
12,EVN AG,878279,AT,EVN,EVN.VI,Versorger,AT0000741053
13,Facc AG,A1147K,AT,1FC,FACC.VI,Luftfahrt/Rüstung,AT00000FACC2
14,Kapsch TrafficCom AG,A0MUZU,AT,BZ6,KTCG.VI,Elektrotechnologie,AT000KAPSCH9
15,Lenzing AG,852927,AT,LEN,LNZ.VI,Bekleidung/Textil,AT0000644505
16,Mayr-Melnhof Karton AG,890447,AT,MYM,MMK.VI,Holz/Papier,AT0000938204
17,Oberbank AG,854018,AT,OBK,OBS.VI,Finanzdienstleistungen,AT0000625108
18,OMV AG,874341,AT,OMV,OMV.VI,Öl/Gas,AT0000743059
19,Palfinger AG,919964,AT,PFI,PAL.VI,Sonstige Technologie,AT0000758305
20,Polytec Holding AG,A0JL31,AT,P4N,PYT.VI,Kunststoffe/Verpackungen,AT0000A00XX9
21,Porr AG,850185,AT,ABS2,POS.VI,Bau/Infrastruktur,AT0000609607
22,Raiffeisen Bank International AG,A0D9SU,AT,RAW,RAW,Finanzdienstleistungen,AT0000606306
23,Robeco Sustainable Global Stars Equities Fund N.V.,970259,AT,ROB,ROBA.AS,Finanzdienstleistungen,NL0000289783
24,Rolinco N.V.,970254,AT,ROC,ROLA.AS,Finanzdienstleistungen,NL0000289817
25,Rosenbauer International AG,892502,AT,ROI,ROS.VI,Fahrzeuge,AT0000922554
26,S IMMO AG,902388,AT,T1L,SPI.VI,Immobilien,AT0000652250
27,Schoeller-Bleckmann Oilfield Equipment AG,907391,AT,SLL,SBO.VI,Öl/Gas,AT0000946652
28,Semperit AG Holding,870378,AT,SEW,SEM.VI,Chemie,AT0000785555
29,Strabag SE,A0M23V,AT,XD4,STR.VI,Bau/Infrastruktur,AT000000STR1
30,SW Umwelttechnik Stoiser & Wolschner AG,910497,AT,SWU,SWUT.VI,Sonstige Technologie,AT0000808209
31,Telekom Austria AG,588811,AT,TA1,TKA.VI,Telekom,AT0000720008
32,UBM Development AG,852735,AT,2U2,UBS.VI,Immobilien,AT0000815402
33,Uniqa,928900,AT,UN9,UQA.VI,Finanzdienstleistungen,AT0000821103
34,Unternehmens Invest AG,882788,AT,UIA,UIV.VI,Finanzdienstleistungen,AT0000816301
35,Verbund AG,877738,AT,OEWA,VER.VI,Versorger,AT0000746409
36,Vienna Insurance Group AG,A0ET17,AT,WSV2,VIG.VI,Finanzdienstleistungen,AT0000908504
37,voestalpine AG,897200,AT,VAS,VOE.VI,Eisen/Stahl,AT0000937503
38,Warimpex Finanz- und Beteiligungs AG,A0LGV4,AT,WFS,WXF.VI,Immobilien,AT0000827209
39,Wienerberger AG,852894,AT,WIB,WIE.VI,Bau/Infrastruktur,AT0000831706
40,Wolford AG,893975,AT,WOF,WOL.VI,Konsumgüter,AT0000834007
41,Zumtobel Group AG,A0JLPR,AT,T9Z,ZAG.VI,Sonstige Technologie,AT0000837307
42,Österreichische Post AG,A0JML5,AT,O3P,POST.VI,Logistik/Transport,AT0000APOST4
43,Acciona S.A.,865629,ES,AJ3,ANA.MC,Bau/Infrastruktur,ES0125220311
44,Acerinox S.A. (Compania Espanola para la Fabricacion de Acero Inoxidable),A0B7GP,ES,ACE1,ACX.MC,Eisen/Stahl,ES0132105018
45,"ACS, Actividades de Construccion y Servicios S.A.",A0CBA2,ES,OCI1,ACS.MC,Bau/Infrastruktur,ES0167050915
